FechaSalida;FechaEntrada;Motivo;Ocupacion;Estadia;Gente;GastoTotal;GastoAlojamiento;GastoAlimentacion;GastoTransporteInternac;GatoTransporteLocal;GastoCultural;GastoTours;GastoCompras;GastoResto
4/1/2024;8/1/2024;Visita familiares / amigos;Patron, Com, Ind, Prod Agrop;4;2;300;0;92.69;0;100.26;0;0;107.05;0
4/1/2024;10/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;6;7;1149.75;408.8;383.25;0;51.1;89.42;0;85.84;131.33
4/1/2024;21/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;17;2;800;204.42;190.03;239.85;205.55;0;0;200;0
4/1/2024;15/1/2024;Ocio, Recreo, Vacaciones;Profesional independiente;11;3;2315.76;800;578.46;0;100;300;0;400;137.3
4/1/2024;15/1/2024;Ocio, Recreo, Vacaciones;Otros;11;4;1500;200;500;0;146.89;300;0;245.62;107.5
4/1/2024;8/1/2024;Visita familiares / amigos;Trabajador Independiente;4;2;511;0;178.85;0;76.65;0;0;220.42;35.08
5/1/2024;10/1/2024;Ocio, Recreo, Vacaciones;Jubilado, Pensionista;5;4;1022;408.8;306.6;0;51.1;89.42;0;73;93.07
5/1/2024;10/1/2024;Trabajo / Profesion;Trabajador Independiente;5;2;700;321.87;200;0;40;0;0;80;58.13
5/1/2024;8/1/2024;Visita familiares / amigos;Trabajador Independiente;3;3;204.4;0;102.2;0;38.32;0;0;63.87;0
5/1/2024;8/1/2024;Compras;Desocupado;3;2;365.58;0;76.17;0;82.39;0;0;117.29;89.72
5/1/2024;12/1/2024;Visita familiares / amigos;Patron, Com, Ind, Prod Agrop;7;3;2100;0;535.78;0;579.55;0;0;353.58;631.09
5/1/2024;8/1/2024;Visita familiares / amigos;Trabajador Independiente;3;5;500;0;196.86;0;0;0;0;303.14;0
5/1/2024;8/1/2024;Visita familiares / amigos;Patron, Com, Ind, Prod Agrop;3;2;200;0;55.23;0;59.74;0;0;85.04;0
5/1/2024;7/1/2024;Visita familiares / amigos;Profesional independiente;2;1;500;0;100;80;0;108.26;0;193.21;98.53
5/1/2024;8/1/2024;Visita familiares / amigos;Jubilado, Pensionista;3;3;705.18;0;153.3;0;153.3;0;0;383.25;15.33
5/1/2024;17/1/2024;Ocio, Recreo, Vacaciones;Trabajador Independiente;12;4;2000;845.13;643.03;0;0;0;192.16;319.68;0
5/1/2024;10/1/2024;Visita familiares / amigos;Profesional independiente;5;2;255.5;0;163.6;0;53.06;0;0;0;38.83
5/1/2024;11/1/2024;Visita familiares / amigos;Profesional dependiente;6;2;500;0;227.14;0;0;97.99;0;174.88;0
5/1/2024;8/1/2024;Visita familiares / amigos;Trabajador Independiente;3;5;306.6;0;114.97;0;35.77;0;0;139.24;16.62
5/1/2024;10/1/2024;Ocio, Recreo, Vacaciones;Patron, Com, Ind, Prod Agrop;5;7;1500;650;350;0;146.13;69.93;0;124.81;159.12
5/1/2024;10/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;5;4;3200;654.54;608.45;0;658.16;0;0;562.16;716.69
6/1/2024;22/1/2024;Ocio, Recreo, Vacaciones;Patron, Com, Ind, Prod Agrop;16;5;2500;951.98;724.32;0;234.93;318.69;0;270.08;0
6/1/2024;9/1/2024;Otros;Trabajador dependiente;3;2;1600;0;482.95;2400;156.64;0;0;960.41;0
6/1/2024;8/1/2024;Compras;Trabajador dependiente;2;3;337.45;54.63;50.78;0;54.93;0;0;117.29;59.81
6/1/2024;8/1/2024;Compras;Trabajador dependiente;2;2;337.45;54.63;50.78;0;54.93;0;0;117.29;59.81
6/1/2024;12/1/2024;Ocio, Recreo, Vacaciones;Profesional independiente;6;3;4500;948.22;881.45;0;953.45;0;0;678.65;1038.24
6/1/2024;15/1/2024;Visita familiares / amigos;Profesional dependiente;9;4;800;0;277.53;0;300.2;79.82;0;142.45;0
6/1/2024;12/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;6;4;1200;420;250;0;165.65;66.06;0;117.91;180.38
6/1/2024;18/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;12;2;5452.62;2660.21;788.21;4056;197.05;98.53;0;1708.62;0
6/1/2024;15/1/2024;Ocio, Recreo, Vacaciones;Trabajador Independiente;9;3;2521.48;1325.22;350;0;50;370.2;0;313.73;112.34
6/1/2024;21/1/2024;Ocio, Recreo, Vacaciones;Jubilado, Pensionista;15;2;3619;1839.65;1779.35;381;0;0;0;0;0
7/1/2024;22/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;15;4;2000;749.81;570.5;0;185.04;267.74;0;226.9;0
7/1/2024;12/1/2024;Visita familiares / amigos;Profesional independiente;5;2;531.11;0;126.95;0;137.32;0;0;117.29;149.54
7/1/2024;10/1/2024;Tratamiento Salud;Trabajador dependiente;3;2;1000;429.61;100;0;0;0;0;0;470.39
7/1/2024;12/1/2024;Ocio, Recreo, Vacaciones;Patron, Com, Ind, Prod Agrop;5;4;1250;450;300;0;100;150;0;109.9;140.1
7/1/2024;13/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;6;1;500;207.3;192.7;119.92;0;0;0;100;0
7/1/2024;12/1/2024;Visita familiares / amigos;Trabajador dependiente;5;2;383.25;0;81.52;0;88.18;42.2;0;75.32;96.02
7/1/2024;19/1/2024;Visita familiares / amigos;Trabajador dependiente;12;2;1100;0;456.78;0;148.15;267.97;0;227.09;0
7/1/2024;10/1/2024;Visita familiares / amigos;Otros;3;2;300;0;130;0;30;0;0;100;40
7/1/2024;10/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;3;5;511;130.3;204.4;0;30.66;51.1;0;53.56;40.97
7/1/2024;14/1/2024;Visita familiares / amigos;Jubilado, Pensionista;7;2;894.25;0;255.5;194.18;0;127.75;0;183.49;327.51
8/1/2024;22/1/2024;Ocio, Recreo, Vacaciones;Patron, Com, Ind, Prod Agrop;14;5;3000;1105.2;840.9;0;272.74;422.83;0;358.33;0
8/1/2024;12/1/2024;Visita familiares / amigos;Trabajador Independiente;4;4;383.25;0;178.85;0;38.32;0;0;82.22;83.86
8/1/2024;10/1/2024;Visita familiares / amigos;Jubilado, Pensionista;2;1;178.85;0;51.1;0;38.32;0;0;59.22;30.2
8/1/2024;8/1/2024;Compras;Trabajador dependiente;1;2;76.65;0;0;0;0;0;0;76.65;0
8/1/2024;8/1/2024;Compras;Trabajador Independiente;1;1;63.87;0;0;0;0;0;0;63.87;0
